idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude
5891,PUNTOS DE MEDIDA URBANOS,42023,FERMIN CABALLERO. 50 E-O,448197840670545.00,440248803316754.00,31,1.4442105931471,3.1060363008934
5892,PUNTOS DE MEDIDA URBANOS,42024,ACCESO M-607 A AV. CARDENAL HERRERA ORIA,448271816033892.00,440886774406664.00,31,-3.9296848603998,-3.9616788884014
3713,PUNTOS DE MEDIDA URBANOS,42402,LA MAS√ì. 80 N-S,448187755838735.00,439564856539163.00,31,-1.3008816487899,-4.2510408131032
5901,PUNTOS DE MEDIDA URBANOS,42404,(T√ÅCTICO) PE√ëA DEL OSO 2 N-S,448253000664298.00,440717992680688.00,31,4.7828051827401,-1.1468795521943
5902,PUNTOS DE MEDIDA URBANOS,42405,TACTICO - Islas CÌes 2 O-E,448164157575931.00,439336918162699.00,31,-3.7439601663754,-7.5856658779447
5903,PUNTOS DE MEDIDA URBANOS,42406,TACTICO)JULIO CALVO 26 S-N(CARDENAL HERRERA ORIA-VALLE PINARES LLANOS),448176405194602.00,43887881719966.00,31,5.4218705869418,1.1628276499476
3814,PUNTOS DE MEDIDA URBANOS,73004,T√ÅCTICO - CTRA. EL PARDO S-N(PALACIO DE LA ZARZUELA),448244208073241.00,436188779013621.00,31,6.1537388252492,-1.4396117657113
3680,PUNTOS DE MEDIDA URBANOS,73005,T√ÅCTICO - SALIDA PALACIO ZARZUELA A LA CTRA EL PARDO,448244581391764.00,436173288001735.00,31,-3.6484335841591,-2.2111622781647
6547,PUNTOS DE MEDIDA URBANOS,73006,T√ÅCTICO - CAMINO TIRO A PICHON,448247272565079.00,436216982454032.00,31,5.6860834265149,1.2558149624832
3789,PUNTOS DE MEDIDA URBANOS,76007,ACCESO M-607 N-S (VIA DESERVICIO - AV. MONTECARMELO),448393645362858.00,441042919965842.00,31,9.4171391549439,2.5206594844826
5003,PUNTOS DE MEDIDA URBANOS,95006,P∫ EXTREMADURA O-E(CARAMUEL-P∫ ERMITA)(CARRIL ABIERTO),447415670424647.00,438501232200571.00,31,-3.8995649083704,-4.8966443528070
5012,PUNTOS DE MEDIDA URBANOS,95008,CARAMUEL N-S(P∫ EXTREMADURA-JUAN TORNERO),447401831611029.00,438428563381255.00,31,-4.3385171823502,8.9687670060924
5004,PUNTOS DE MEDIDA URBANOS,95009,P∫ EXTREMADURA E-O(CARAMUEL-PTA. ANGEL)(CARRIL ABIERTO),447414520530174.00,438379162387254.00,31,9.1028566165783,1.9528548656700
5018,PUNTOS DE MEDIDA URBANOS,95010,PTA. ANGEL N-S(AV. PORTUGAL-P∫ EXTREMADURA),447420289806855.00,438229861661254.00,31,4.1711720682186,-7.7173731526366
5005,PUNTOS DE MEDIDA URBANOS,95011,P∫ EXTREMADURA O-E(PTA. ANGEL-CARAMUEL)(CARRIL ABIERTO),447413220909401.00,438329207874173.00,31,-2.9834335968338,6.4061196939119
3702,PUNTOS DE MEDIDA URBANOS,95012,P∫ EXTREMADURA E-O(PTA ANGEL-FRUELA),447409938328668.00,43822008158833.00,31,1.3533364991209,-3.0974916183135
5006,PUNTOS DE MEDIDA URBANOS,95014,P∫ EXTREMADURA O-E(STA. URSULA-JAIME VERA),447405253136782.00,438140114587964.00,31,4.5134637808955,-1.0240835724323
3967,PUNTOS DE MEDIDA URBANOS,6027,Maria Molina. 31 E-O - NuÒez de Balboa-Velazquez,447676365601885.00,44227285260018.00,31,8.8024006022962,-1.9243536331457
6799,PUNTOS DE MEDIDA M-30,PM42352,PM42352,447870540938564.00,436936868832118.00,31,-1.8610775117620,-5.8521771696180
3726,PUNTOS DE MEDIDA URBANOS,2031,Astros E-O - Cruz del Sur-Dr. Esquerdo(Giro Derecha),447384623616671.00,443359726668787.00,31,1.8594877799073,-4.2753686082165
3886,PUNTOS DE MEDIDA URBANOS,2042,Dr. Esquerdo S-N - Estrella Polar-Astros,447368605138844.00,443275282037125.00,31,-1.3716654580792,-3.5802914463325
4290,PUNTOS DE MEDIDA URBANOS,16012,Isabel la Catolica O-E - Pl. Santo Domingo-Gran Via,44750071866956.00,439942223861879.00,31,-3.9829017422322,-5.2284867300591
4369,PUNTOS DE MEDIDA URBANOS,17038,Fernando el Catolico E-O - Hilarion Eslava-Arcipretes de Hita,447643201758521.00,439299461587094.00,31,5.7718604209881,1.6842973388484
4464,PUNTOS DE MEDIDA URBANOS,21035,Santa Engracia .115 S-N - BretÛn de los Herreros - Rios Rosas,447711474494998.00,440639746277037.00,31,5.3771364001873,-1.5202606546939
4456,PUNTOS DE MEDIDA URBANOS,22003,Rios Rosas. 72 E-O - Santa Engracia - Bravo Murillo,447726706290483.00,440558932699819.00,31,3.8234506570387,1.9976334371519
4459,PUNTOS DE MEDIDA URBANOS,22006,AgustÌn de Bethancourt. 7 N-S - CristÛbal Bordiu-Rios Rosas,447731558685919.00,441183180170441.00,31,-6.2120398914977,1.4727861462700
4460,PUNTOS DE MEDIDA URBANOS,22007, Pl. San Juan de la Cruz  E-O (P.M.7) - Zurbano-AgustÌn de Bethancourt (P.M.7),447718444392587.00,441329596716281.00,31,-2.1590969749827,6.7864744572210
4461,PUNTOS DE MEDIDA URBANOS,22008,P∫ Castellana N-S - Pl. San Juan de la Cruz-BretÛn de los  Herreros,447701951303326.00,441470422916817.00,31,3.8706698080128,2.2462722032703
4462,PUNTOS DE MEDIDA URBANOS,22009,P∫ Castellana N-S - Entrada Pl. San Juan de la Cruz,447731110926417.00,441444609761287.00,31,8.3734516365117,-2.2690970032650
4599,PUNTOS DE MEDIDA URBANOS,33016,Arzobispo Morcillo O-E - Acc.Torres-P∫Castellana,448143783163332.00,441865147432504.00,31,5.3671663978506,-1.4608009045328
4600,PUNTOS DE MEDIDA URBANOS,33017,Arzobispo Morcillo E-O - Acc.Torres-Pedro Rico,448145264944389.00,441792086996667.00,31,1.8574512710355,-5.9398659076524
4601,PUNTOS DE MEDIDA URBANOS,33018,Arzobispo Morcillo E-O(T˙nel a 180m) - Acc.Torres-Pedro Rico,44814542340206.00,441769104622998.00,31,-2.9983385887110,-9.0945475257806
4626,PUNTOS DE MEDIDA URBANOS,34007,LÛpez de Hoyos O-E - Mantuano-Marcenado,447753360833147.00,442999115120744.00,31,-3.9400037619815,2.3454669178976
4643,PUNTOS DE MEDIDA URBANOS,34031, Alfonso XIII S-N - LÛpez de Hoyos-Pradillo,447814014272228.00,443537705618564.00,31,1.0893401119646,-2.9015495793461
