idelem;tipo_elem;identif;nombre;north; east; zone; longitude; latitude;;
4383;PUNTOS DE MEDIDA URBANOS;18005;Alberto Aguilera O-E - Gta, Ruiz JimÈnez-Vallehermoso;4475906;440162;30;-3,705469181;40,43164228;;
4405;PUNTOS DE MEDIDA URBANOS;19003;Eloy Gonzalo; 27 E-O - Santisima Trinidad-Gral,Alvarez Castro;4476433;440703;30;-3,699140602;40,43642847;
4677;PUNTOS DE MEDIDA URBANOS;35043;Roberto Domingo N-S - MartÌnez Izquierdo-Av,Toreros;4476412;444028;30;-3,659937918;40,43646972;;
5080;PUNTOS DE MEDIDA URBANOS;2058;Reina Cristina O-E - Andres Torrejon-Gutenberg;4473365;442277;30;-3,680305137;40,40890112;;
3411;PUNTOS DE MEDIDA URBANOS;97028;Av,Pablo Iglesias S-N  - San Francisco de Sales-Reina Victoria;4477721;440120;30;-3,706135369;40,44798956;;
7003;PUNTOS DE MEDIDA URBANOS;97098;MÈndez Alvaro S-N - Estrella Naos -Repsol;4472382;442149;30;-3,681724256;40,40003684;;
4006;PUNTOS DE MEDIDA URBANOS;8005;Jose Ortega y Gasset 45 O-E - Ppe, Vergara-Gral, Diaz Polier;4475911;442613;30;-3,676575148;40,43186003;;
4679;PUNTOS DE MEDIDA URBANOS;35046;Pl,Venecia E-O - Av,Brasilia-Av,Bruselas;4477109;444001;30;-3,660317674;40,44274684;;
5427;PUNTOS DE MEDIDA URBANOS;43016;Av,IlustraciÛn E-O - Arzobispo Morcillo-Ginzo de Limia;4481776;440525;30;-3,701739834;40,48454768;;
5457;PUNTOS DE MEDIDA URBANOS;60010;P∫Castellana S-N - Raimundo Fern·ndez Villaverde-San Ju·n de la Cruz;4477673;441476;30;-3,690141418;40,44765372;;
5460;PUNTOS DE MEDIDA URBANOS;60013;P∫Castellana S-N - Hermanos PinzÛn-Pl,de Lima;4478153;441530;30;-3,689548865;40,45198157;;
5463;PUNTOS DE MEDIDA URBANOS;60016;P∫Castellana S-N - Ju·n Gris- Sor Angela de la Cruz;4478944;441595;30;-3,68885513;40,45911182;;
3451;PUNTOS DE MEDIDA URBANOS;60088;MÈndez Casariego E-O(Entrada Pl,Quito) - MÈndez Casariego E-O(Entrada Pl,Quito);4478087;441775;30;-3,686653675;40,45140421;;
5605;PUNTOS DE MEDIDA URBANOS;61099;Colombia O-E - Chile-Puerto Rico;4478912;442847;30;-3,674086571;40,4589106;;
7092;PUNTOS DE MEDIDA URBANOS;61121;Acceso M-30 N-E(T˙nel) - M-30 Norte-Pl,JosÈ M™Soler;4479247;443542;30;-3,665919776;40,46197595;;
7094;PUNTOS DE MEDIDA URBANOS;62085;Sor Angela de la Cruz O-E(Giro Izqda) - Capit·n Haya-Orense;4479170;441310;30;-3,692237215;40,46112764;;
3425;PUNTOS DE MEDIDA URBANOS;63002;Bravo Murillo N-S - Navarra-Castilla;4478539;440497;30;-3,701766565;40,45538551;;
5812;PUNTOS DE MEDIDA URBANOS;41001;Av, Ciudad de Barcelona - Seco-M-30;4472479;443184;30;-3,669537125;40,40098193;;
4413;PUNTOS DE MEDIDA URBANOS;19011;Sagasta; 13 E-O - Francisco de Rojas-Gta, Bilbao;4475775;440717;30;-3,69891417;40,43050191;
4447;PUNTOS DE MEDIDA URBANOS;21025;Gral, MartÌnez Campos; 36 O-E - Zurbano-Miguel Angel;4476487;441329;30;-3,691765255;40,43695933;
5357;PUNTOS DE MEDIDA URBANOS;88001;C/, PeÒaranda de Bracamonte -  La Adrada-Av, Ensanche de Vallecas;4469146;448404;30;-3,607756554;40,37129578;;
4767;PUNTOS DE MEDIDA URBANOS;24037;GIRO CEBREROS E-N(PALMIPEDOS-CARLINA);4473092;436471;30;-3,748700288;40,40601899;;
4835;PUNTOS DE MEDIDA URBANOS;26028;VILLAFUERTE N-S(VILLAJOYOS-CRA,VILLAVER);4467577;441563;30;-3,688188706;40,35670979;;
5052;PUNTOS DE MEDIDA URBANOS;49020;GRAL, RICARDOS O-E(NTRA,SRA,LUZ-BLASON);4470751;437160;30;-3,740349926;40,38498254;;
5105;PUNTOS DE MEDIDA URBANOS;51006;OCA S-N (GRAL,RICARDOS-PL,ALMODOVAR);4471428;437862;30;-3,732145991;40,39113392;;
3481;PUNTOS DE MEDIDA URBANOS;51024;CASTROJERIZ N-S(AV,PZA TOROS-M,GRANDES);4471090;437279;30;-3,738981413;40,38804537;;
4025;PUNTOS DE MEDIDA URBANOS;9009;Alcala O-E - Almeria-Puente Ventas;4475998;443880;30;-3,661646243;40,43273022;;
4077;PUNTOS DE MEDIDA URBANOS;10033; Maiquez S-N - Ibiza-O¬¥Donnell;4474925;443028;30;-3,671594385;40,42300616;;
4215;PUNTOS DE MEDIDA URBANOS;14019;P∫ Acacias O-E - PeÒuelas-Gta, Embajadores;4473089;440313;30;-3,70342471;40,40627627;;
5684;PUNTOS DE MEDIDA URBANOS;62074;Bravo Murillo S-N - Conde Vallellano-MarquÈs de Viana;4479439;440934;30;-3,696696788;40,46352426;;
4103;PUNTOS DE MEDIDA URBANOS;11032;Embajadores N-S - Bronce-Planetario;4471184;441486;30;-3,689426524;40,3891983;;
4373;PUNTOS DE MEDIDA URBANOS;17042;Princesa S-N - Seneca-P∫ Moret;4476614;438948;30;-3,719848773;40,43793201;;
4404;PUNTOS DE MEDIDA URBANOS;19002;Bravo Murillo; 11 N-S - Fern·ndez de los Rios-Gta,Quevedo;4476463;440370;30;-3,70306937;40,43667492;
